Cadet Sulu,C,5.0,5.0,5.0,4.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,4.5,Captain: useless; Officer: useless = Bridge only increase
Cadet Uhura,C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Captain: Damage Reduction Ability, very usefull; Officer: very small Shield increase"
Captain Tilly,R,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.5,2.0,Captain: does not work ??; Officer: max mitigation over time
Carol,E,3.0,2.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,2.5,Captain: Small Damage (below 10%) reduction WHEN attacked; Officer: Dmg Buff is twice as displayed
Carol Freeman,E,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,Captain: Increase shots when fighting players; Officer: Huge Isolytic Cascade damage increase when fighting players.
Cath,R,4.0,1.0,3.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.5,"Captain: Simple repair cost reduction; Officer: Kinetic damage reduction, like T'Laan, but better."
Chakotay,E,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,Captain: Increases shots Vs Armadas; Increases Crit chance Vs Armadas each time you hit.
Chang,R,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.5,Captain: weak damage buff with condition; Officer: too much effort to activate - not worth it
Changeling Kira,R,4.0,2.0,4.0,2.0,,3.0,2.0,2.0,4.0,2.0,,2.5,2.5,Captain: Reduces crit chance of Cardassian armadas; Officer: Reduces Armada mitigation with every hit
Charvanek,E,3.0,2.0,4.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,Captain: activation condition makes it very impractical; Offficer: needs at least Rank 3+ and 5000+ Health stats
Chen,U,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Captain: Don´t bother - tiny increase; Officer: Energy Dmg reduction - MAX as fast as possible
Culber,U,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,Captain: useless; Officer:  pair him with blue (cpt) Stamets on a Discovery - no where else!
D'Jaoki,U,4.0,3.0,3.0,2.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.5,"Officer: Tooltip is now correct, he increases your Defense Mitigation; try to max him; DOES NOT WORK for Armadas"
D'Vana Tendi,E,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.5,1.0,Below Decks: Increase Hull Health; Officer: Increase Health of all officers by a small amount.
Dajash Tolra,E,,,,,,,,,,,,,,Captain: Good increase in loot from Armadas and hostiles; Officer: Increases weapon shots against Armadas and Invading Entities
Damar,R,1.0,1.0,1.0,1.0,,1.0,,2.0,2.0,2.0,,2.0,1.5,"Captain: Increases Crit Chance, but would need a non synergy offcier to cause Breach; Officer: Decreases opponent's Damage when breached."
Dane,R,,,,,,,,,,,,,,Below Deck: Increases your ship's base Impulse Speed ; Officer: Increases the amount of loot gained from defeating Mirror Universe Hostiles when assigned to the NSEA Protector
Darwin,C,5.0,3.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.5,4.0,Captain: useless; Officer: on Interceptor only - xp bonus
Data,E,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.5,3.5,"Captain: Little crit Bonus, not worth taking;  Officer ability: Because it's a BASE Bonus, too weak. Should Start at 300% or 500%"
Deanna Troi,E,2.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0,3.5,2.5,Captain: Potential to be great for one member of an armada team; Officer: Increase to damage against Romulan Hostiles and Armadas
Decius,R,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.5,"Captain: even with full synergy, only small increase; Officer: stacks up fast, make sure you can take the hits"
DeMarco,E,,,,,,,,,,,,,,Below Deck: Increases Isolytic Cascade Damage in PvP when the enemy player has any state; Officer: Increases Isolytic Cascade damage against Armadas and Invading Entities
Dezoc,R,3.0,4.0,4.0,2.0,,3.0,3.0,4.0,4.0,4.0,,3.5,3.0,"Below Decks: Chance to apply the Assimilate for 4 rounds, reducing oponets officer abilites; Officer: Increases officer stats whilst fighting Borg Solo armadas."
Dixon Hill,R,,3.0,3.0,2.0,,2.5,,3.0,4.0,2.0,,3.0,2.5,"Below Decks:  Increases Mining Speed; Officer: When defending a mining node, reducese Shield Deflection per round, cumulatively"
Doctor T'Ana,E,,1.0,1.0,1.0,,1.0,,1.0,2.0,1.0,,1.0,1.0,"Below Decks: On round start, increases Iso Defense against players for 1 round; Officer: At round start, chance to apply a random state to enemy player for 3 rounds."
Domitia,C,2.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,"Officer: buggy Warp Speed boost, unequip her-save setup-re-equip her to get the speed back"
Dupont,R,3.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,2.0,1.0,4.0,1.5,2.0,Captain: Useful 3 Star all-around Mining boost; Officer: Protected Cargo ability (exact copy of T'Pring)
Eight Of Eleven,U,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.5,3.0,"Captain: vs. Borg only; Powerful ""Attack stat boost"""
Eleven Of Eleven,E,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,4.0,5.0,4.0,2.5,"Captain: Better version of Barot's Crystal bonus; Officer: Warp speed bost, not worth the cost to upgrade whilst you have other Borg officers still to do."
Emperor Georgiou,R,3.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.5,"Captain & Officer: capure node only!! Officer: has potential, needs more testing"
Ent-E Data,R,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,Below Deck: Increase Max Cargo; Officer: Increase Isolytic Cascade Damage against non-armada hostiles
Ent-E Picard,E,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,Captain: Increase rewards from Armadas and Hostiles; Increase Cascade Damage for 3 rouns when you hit a non-armada hostile
Ent-E Riker,E,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,"Captain: Increase your ships Impulse Speed; Officer: Increase Critical Chance for 4 rounds, each time you hit a target, once per weapon"
Ent-E Troi,R,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,Below Decks: Increases Critical Damage against Armadas and Hostiles; Officer: Reduces non-armada hostiles shield health by % of Attack at the beginning of each round
Eurydice,E,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,Captain: stacking dmg buff; Officer: needs to be maxed!! then combine with Cpt Pike to get to 100% chance
Fess,R,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,4.0,3.5,2.0,Captain: Average mining speed boost; Officer: **REDUCES** protected cargo. Amount of reduction decreases when ranked up.
Five Of Eleven,E,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,Captain: Increase Mitigation - very powerful; Officer: Increases loot from Hostiles & Armadas
Four Of Eleven,E,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Captain: Better version of Stonn Ore bonus; Officer: At rank 1 already better than a maxed Stonn.
Gaila,C,4.0,3.0,4.0,3.0,4.0,3.5,2.0,2.0,2.0,2.0,1.0,1.5,2.5,"Officer: max Gaila to reduce critical dmg, multiple player can combine her ability up to 0 damage crits"
Garak,R,1.0,1.0,1.0,1.0,,1.0,,2.0,2.0,2.0,,2.0,1.5,Captain: Reduced opponets crit damage when breached; Officer: Increases crit chance when opponet breached.
Geordi La Forge,E,4.0,3.0,4.0,4.0,1.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,3.5,"Captain: Loot Bonus, take it or leave it; Officer: Terrible - use L'Nar instead!"
Georgiou,E,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Captain: PvP only; not effective; Officer: best Burning in the game , needs to get to Rank 3+"
Ghalenar,R,2.0,2.0,2.0,1.0,,1.5,1.0,2.0,3.0,1.0,,1.5,1.5,Below Decks: Increase drops from Actian Apex and Borg; Officer: Increase Faction Rep
Ghrush,E,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,"Captain: Nice 100% increase to protected cargo, currently no synergy officers; Officer: First officer to increase warp by a percentage instead of a fixed amount."
Gonzales,U,3.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,Captain & Officer abiliies:  surprisingly good on a Stella versus Ecplise Hostiles and even Armadas
Goon,U,4.0,2.0,2.0,4.0,1.0,2.5,5.0,3.0,5.0,4.0,2.0,3.5,3.0,Captain: first Round buff; Officer: XP boost  -  never needed him
Gorkon,E,2.0,2.0,1.0,2.0,2.0,1.5,2.0,2.0,2.0,2.0,1.0,1.5,1.5,"Captain: short fight ability; Officer: Very good ""Hull Breach"" source; When Klingon algined easy to Level"
Gossa,R,4.0,4.0,4.0,4.0,,4.0,,4.0,4.0,4.0,,4.0,4.0,Below Decks: Increases mitigation cumulatively when fighting players with Assimilate effect; Officer: Reduce Borg Solo critical damage for a round
Gowron,R,4.0,3.0,4.0,4.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,"Captain: Small increase to Energy weapon damage; Officer: Anti Trinity officer to counter Shield Penetration, increases Shield Deflection based on officer Health"
Gul Dukat,E,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,2.0,2.0,,2.0,1.5,Captain: Great source of Hull Breach at all synergy; Officer: Potentiallay awesome shot increasing ability.
Hadley,C,5.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,4.5,3.5,Do not bother with this officer
Harrison,R,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,Officer: (first Round only!) good for offensive and Defense; allows you HEAVY damage attacks in the first round
Harry Kim,R,,4.0,5.0,4.0,,4.0,,2.0,2.0,2.0,,2.0,3.0,Below Decks: Chance each round to apply Morale to non-Player hostiles or Armada; Officer: Increases positive reputaion gain
Harry Mudd,E,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,Captain: Shields absorb additional damage (only 2 rounds!) ; Officer : small chance of double shot (first round only!)
Helvia,C,2.0,3.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,Officer: pretty good Warp speed buff for your Miners - or for quick PvP action
Hendorff,U,5.0,3.0,3.0,3.0,4.0,3.5,5.0,3.0,5.0,5.0,5.0,4.5,4.0,Do not bother with this officer
Honorguard Worf,E,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Captain: Weak increase to Piercing, especially compared to Charvanek; Officer: Great increase to critical, straight out of the box; good for early round wins."
Hoshi Sato,R,,4.0,4.0,2.0,,3.0,,4.0,4.0,1.0,,3.0,3.0,Below Decks: Increases Max Cargo size of ship; Officer: Increases Gas mining speed.
Hugh,E,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,Below Deck: Excellent increase to Crit Chance for 2 rounds when hit; Officer: Increses Impulse speed.
Ikat'ika,R,3.0,1.0,1.0,1.0,,1.5,3.0,2.0,3.0,3.0,,2.5,2.0,Captain: Small increase mitigations stats in PvP when on Explorer; Officer: Reasonable increase in power in PvP when on Explorer
Instructor Spock,C,4.0,3.0,4.0,3.0,4.0,3.5,3.0,4.0,4.0,3.0,5.0,3.5,3.5,Captain: incorrect Dmg Buff tooltip - double it; Officer very weak base increase
Jack Ransom,E,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,Below Deck: Increase Isolytic Defence if on an Interceptor and enemy player has Hull Breach; Officer: Huge Isolytic Cascade damage increase when fighting players whilst on an Explorer with Morale
Jadzia Dax,E,1.0,1.0,2.0,2.0,,1.5,1.0,1.0,2.0,1.0,,1.0,1.0,Captain: Good increase in Shield and Armor piercing and Accuracy against Solo Armadas; Officer:Good increase in damage against Solo Armadas
Javaid,U,5.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,Captain: super weak piercing increase; Officer: super weak base Armor increase
Jaylah,E,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,"Captiain: Increase loot, similar to Five Of Eleven BUT: for Franky only; Officer: Great increase in firepower against Swarms on any Franky."
Jean-Luc Picard,E,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,1.5,Captain: Same as Pike's but written correctly! Officer: Increased crit damage to Hostiles and Armadas
Joachim,R,3.0,3.0,2.0,2.0,3.0,2.5,4.0,4.0,4.0,3.0,4.0,3.5,3.0,Captain: only Defense Plattforms protection -but- only 1 round; Officer: Damage reduction too small
Joaquin,U,3.0,1.0,2.0,2.0,1.0,1.5,4.0,2.0,3.0,3.0,4.0,3.0,2.0,Captain: Protected Cargo up to 100%  - very usefull; Officer: independent Credits are to valuable to max him
Jonathan Archer,E,,1.0,1.0,1.0,,1.0,,3.0,3.0,4.0,,3.0,2.0,"Captain: Increases the amount of resources you get from destroying Xindi hostiles; Officer: When you take damage from a hostile or another player, Jonathan Archer increases your Critical Hit damage"
Julian Bashir,R,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,Captain: Increase damage against Solo Armadas; Officer:Increase Critical Hit Chance against Solo Armadas.
K'Bisch,C,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Officer: Ability now works
Kang,E,3.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,Captain: **Tooltip Error** ONLY 2 Rounds of Hull Breach;  Officer: get him to Rank 3+
Kathryn Janeway,E,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,Captain: Increases Shield Mitigation when hit by a weapon; Officer: Increases Isolytic damage but a significant amount
Kati,U,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.5,3.5,"Capain: Crit Bonus too low; Officer: Base attacks only, works best with Cpt Khan's criticals"
Keenser,R,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.5,4.5,Captain & Officer; station only;  one of the best blue Defense stats if maxed
Kerla,R,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.5,2.0,Captain: useless!;  Officer: crit Bonus gets further boosted by Hull Breach
Khan,E,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Captain: BEST Base attack captain; Officer: best critical chance bonus in game
Kira Nerys,R,4.0,2.0,3.0,2.0,,2.5,3.0,3.0,3.0,2.0,,2.5,2.5,Below Decks: Reduces opponent player's Critical Hit Chance; Officer: Decreses Assault target shield deflection
Kirk,E,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Captain: can generate Temporary Hit points; Officer: BEST morale source in game
Klaa,U,1.0,2.0,2.0,2.0,1.0,1.5,4.0,4.0,4.0,4.0,5.0,4.0,2.5,Captain: best solo officer speed source!; Officer: critical Damage increase against EVERYTHING
Komal,C,5.0,4.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,4.5,"Captain & Officer: PvP only, very weak effects"
Koth,U,5.0,4.0,5.0,4.0,5.0,4.5,5.0,4.0,5.0,4.0,5.0,4.5,4.5,Captain: very small dmg bonus; Officer: don´t bother too much effort for a tiny dmg bonus
Kras,E,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,"Captain & Officer: PvP only, very weak effects, very good ""Lower Deck"" Officer"
Krell,R,4.0,4.0,3.0,4.0,4.0,3.5,3.0,2.0,4.0,2.0,3.0,2.5,3.0,Captain: do not bother; Officer: need to max
Kumak,R,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.5,2.0,"Captain: increases Attack, Defense, Health stats during Combat  - so many uses!; Officer: do not bother"
Kuron,R,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,"Captain: Tooltip completly wrong ""after winning battle"" not just ""after destroying a ship""- High Damage possibilies; Officer: high Impulse bonus"
L'Nar,U,5.0,4.0,5.0,3.0,5.0,4.0,3.0,2.0,4.0,2.0,4.0,3.0,3.5,Captain: do not bother; Officer: need to max
Laliari,R,,,,,,,,,,,,,,Below Deck: Increases the Apex Barrier when in Wave Defence ; Officer: Decreases the cooldown of the NSEA Protectors Omega-13 Ability
Leslie,U,2.0,3.0,2.0,4.0,1.0,2.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,"Hard to get! - Captain ability useful against Eclipse Armadas, can keep you alive for 100 Rounds"
Lieutenant Picard,R,,,,,,,,,,,,,,Captain: Increases Apex Barrier against hostiles level 35 and under; Officer: Increases shieldf health against non-armada hostiles
Linkasa,U,5.0,4.0,5.0,5.0,5.0,4.5,5.0,3.0,5.0,5.0,5.0,4.5,4.5,Do not bother with this officer
Livis,R,3.0,3.0,3.0,3.0,2.0,2.5,3.0,4.0,4.0,3.0,3.0,3.0,2.5,Captain: nope; Officer: good hull increase;  One of the highest possible (blue Officer) stats for Health
Lorca,E,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.5,1.0,"Captain: PvP only - decent dmg reduction; Officer: best possible ""Hull Breach"" source - recommend Rank 3"
Lursa,U,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Captain: Decrease Cloaking cooldown; Officer: Decreases player opponent's damage by a small amount to base.
M'Benga,C,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Do not bother with this officer
M'Ral,U,5.0,4.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,4.5,Captain: only small Armor Piercing bonus; Officer: officer base attack value boost (** Broken Bridge Only**)
Mäkinen,U,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.5,2.0,Captain: 10% to 50% mining speed increase for everything is always useful; Officer: Iso-mining only
Mara,R,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.5,2.5,Captain: do not bother; Officer: loses ALOT of effiency in PvP
Marcus,E,2.0,4.0,3.0,1.0,4.0,2.5,2.0,2.0,2.0,2.0,1.0,1.5,2.0,Captain: can be hard to activate him; Officer: get the Officer to Rank 3 before you use him
Marla,R,4.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.5,3.0,Do not bother with this officer
Martok,R,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.5,3.0,"Captain: Small increase to Kinetic weapon damage; Officer: Anti Trinity officer to counter Accuracy, increases Dodge based on officer defense."
Mavery,E,3.0,2.0,2.0,1.0,4.0,2.0,3.0,3.0,2.0,1.0,4.0,2.5,2.0,"Captain: Increase max cargo; Officer: Increase Crystal, Gas and Ore mining speed."
Michael Burnham,E,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.5,2.0,"Captain: speed boost; Officer: get Rank 5; Ship Firing Pattern is important , feed alot of Attack 30.000+"
Miles O'Brien,R,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,Below Decks: Increase base warp speed; Officer: Chance to double shots against armadas for 3 rounds
Mirek,R,4.0,4.0,4.0,3.0,4.0,3.5,3.0,3.0,3.0,2.0,3.0,2.5,3.0,Captain: one Round Burning; Officer: max the officer
Mirror Data,R,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,Captain: Increases Apex Barrier against a player Interceptor; Office: Chance to apply Assimilate for 2 rounds when fighting a player.
Mirror Ezri,R,,,,,,,,,,,,,,"Captain: Increases Apex Barrier against a player Battleship; Officer: At start of round, if player is assimilated, increase Kinetic damage for 1 round"
Mirror Kira,E,,,,,,,,,,,,,,"Captain: At the start of each round, against a player, increases Apex Barrier for 5 rounds; Officer: At start of round, if player is assimilated, increases shots for 5 rounds"
Mirror Picard,E,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,Captain: Increases Isolytic Cascade against players; Officer: Increases Apex Barrier against players
Mirror Troi,R,,,,,,,,,,,,,,"Captain: Increases Apex Barrier against a player Explorer; Officer: At start of round, if player is assimilated, increase Energy damage for 1 round"
Mitchell,E,4.0,4.0,3.0,3.0,4.0,3.5,4.0,3.0,3.0,3.0,3.0,3.0,3.0,Captain: **Buggy** - affects only Bridge Crew; Officer: Terrible any Dmg bonus resets each round
Moreau,R,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.5,Captain: good shield glitch - any fight doubles your shield capacity; Officer:  increase your defense mitigation
Mudd,E,4.0,4.0,4.0,3.0,4.0,3.5,4.0,4.0,4.0,3.0,4.0,3.5,3.5,Captain: terrible Armada damage reduction  ;  Officer: only usefull with a maxed Eurydice
Naga Delvos,E,,,,,,,,,,,,,,Captain: Increases the Cost Efficiency of the Borg Cube's Transwarp Jump; Below Deck: Increases base repair cost efficiency of the ship; Officer: Increases the base damage of the Borg Cube's Cutting Beam against players
Navi,R,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Do not bother with this officer
Neelix,R,,4.0,2.0,4.0,,3.0,,1.0,2.0,1.0,,1.0,2.0,Below Decks: Chance each round to apply Burning to non-Player hostiles or Armada (Does not work with Tal); Officer: Increases Voyager's ship ability efficiency.
Nero,E,3.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.5,"Captain: you never use it; Officer: Burning Source, every other round  - very good Health stats"
Nesmith,E,,,,,,,,,,,,,,Captain: Decreases Invading Entities Shield Mitigation; Officer: Increases your Apex Barrier when fighting hostiles
Next Gen Crusher,C,2.0,2.0,2.0,1.0,1.0,1.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,Same as Cadet McCoy
Next Gen Data,C,1.0,1.0,1.0,1.0,5.0,1.5,1.0,1.0,1.0,1.0,5.0,1.5,1.5,Same as Cadet Kirk
Next Gen La Forge,C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Same as Cadet Uhura
Next Gen Riker,C,5.0,5.0,5.0,4.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,4.5,Same as Cadet Sulu
Next Gen Troi,C,4.0,3.0,4.0,3.0,4.0,3.5,3.0,4.0,4.0,3.0,5.0,3.5,3.5,Same as Instructor Spock
Nine Of Eleven,U,3.0,3.0,3.0,3.0,2.0,2.5,4.0,4.0,4.0,3.0,4.0,3.5,3.0,"Captain: vs. Borg only; Powerful ""Defense stat boost"""
