# Star Trek Fleet Command Help
Date: 2024-10-16

USER: 

ASSISTANT: It seems like your message might not have come through fully. How can I assist you with your Star Trek Fleet Command strategy today? Feel free to share your question or request!

USER: 

ASSISTANT: It seems like your message didn't come through again. If you have any questions or need advice on **Star Trek Fleet Command**, feel free to ask! I'm here to help with strategies, crew setups, ship upgrades, and anything else you might need.

USER: 

ASSISTANT: It looks like your message is still blank. If you're experiencing an issue, you can try refreshing the page or sending your message again. Whenever you're ready, feel free to ask anything related to **Star Trek Fleet Command**, and I'll be happy to assist you!

USER: I'm trying to upload excel files for you to analyze. Is there a reason it won't work?

ASSISTANT: Currently, I don't have the ability to analyze or interact with uploaded files, including Excel spreadsheets. However, if you're able to provide specific details or data from the file, I can help you analyze or interpret it.

For example, if you're tracking resource production, ship stats, or crew setups in your Excel file, you can either share some of the key data points here, or describe what you'd like help with, and I'll guide you through it.

Let me know what you're working on, and we can find a way to approach it!

USER: Territory Research Tree List				Inventory	4.30M	25,800	37,500	48,300	10,500	28,150		
29	TRUE	enhanced piercing	14	48	553,000							235.80M
30	FALSE	enhanced piercing	15	50	900,000							708.80M
31	TRUE	enhanced defenses	1	25	160							 15.20K
32	TRUE	enhanced defenses	2	27	560							 36.75K
33	TRUE	enhanced defenses	3	28	640							 56.00K
34	TRUE	enhanced defenses	4	29	1,100							 86.50K
35	TRUE	enhanced defenses	5	30	1,600							 134.00K
36	TRUE	enhanced defenses	6	32	3,500							 300.00K
37	TRUE	enhanced defenses	7	34	8,400							 745.00K
38	TRUE	enhanced defenses	8	36	18,100							1.66M
39	TRUE	enhanced defenses	9	38	34,400							3.86M
40	TRUE	enhanced defenses	10	40	66,600							10.40M
41	TRUE	enhanced defenses	11	42	131,000							22.45M
42	TRUE	enhanced defenses	12	44	230,000							49.65M
43	TRUE	enhanced defenses	13	46	354,000							98.75M
44	TRUE	enhanced defenses	14	48	553,000							235.80M
45	FALSE	enhanced defenses	15	50	900,000							708.80M
46	TRUE	officer conditioning	1	25	180							 15.20K
47	TRUE	officer conditioning	2	28	710							 56.00K
48	TRUE	officer conditioning	3	29	1,500							 86.50K
49	TRUE	officer conditioning	4	30	1,800							 134.00K
50	TRUE	officer conditioning	5	31	3,200							 204.00K
51	TRUE	officer conditioning	6	32	3,800							 300.00K
52	TRUE	officer conditioning	7	33	8,000							 465.00K
53	TRUE	officer conditioning	8	35	14,400							1.11M
54	TRUE	officer conditioning	9	37	31,000							2.44M
55	TRUE	officer conditioning	10	39	60,300							6.58M
56	TRUE	officer conditioning	11	41	121,000							15.10M
57	TRUE	officer conditioning	12	43	214,000							32.60M
58	TRUE	officer conditioning	13	45	330,000							70.80M
59	TRUE	officer conditioning	14	47	520,000							146.00M
60	TRUE	officer conditioning	15	49	852,000							399.00M
61	TRUE	hostile tactics	1	25	180							 15.20K
62	TRUE	hostile tactics	2	28	710							 56.00K
63	TRUE	hostile tactics	3	29	1,500							 86.50K
64	TRUE	hostile tactics	4	30	1,800							 134.00K
65	TRUE	hostile tactics	5	31	3,200							 204.00K
66	TRUE	hostile tactics	6	32	3,800							 300.00K
67	TRUE	hostile tactics	7	33	8,000							 465.00K
68	TRUE	hostile tactics	8	35	14,400							1.11M
69	TRUE	hostile tactics	9	37	31,000							2.44M
70	TRUE	hostile tactics	10	39	60,300							6.58M
71	FALSE	hostile tactics	11	41	121,000							15.10M
72	FALSE	hostile tactics	12	43	214,000							32.60M
73	FALSE	hostile tactics	13	45	330,000							70.80M
74	FALSE	hostile tactics	14	47	520,000							146.00M
75	FALSE	hostile tactics	15	49	852,000							399.00M
76	TRUE	armada tactics	1	25	180							 15.20K
77	TRUE	armada tactics	2	28	710							 56.00K
78	TRUE	armada tactics	3	29	1,500							 86.50K
79	TRUE	armada tactics	4	30	1,800							 134.00K
80	TRUE	armada tactics	5	31	3,200							 204.00K
81	TRUE	armada tactics	6	32	3,800							 300.00K
82	TRUE	armada tactics	7	33	8,000							 465.00K
83	TRUE	armada tactics	8	35	14,400							1.11M
84	FALSE	armada tactics	9	37	31,000							2.44M
85	FALSE	armada tactics	10	39	60,300							6.58M
86	FALSE	armada tactics	11	41	121,000							15.10M
87	FALSE	armada tactics	12	43	214,000							32.60M
88	FALSE	armada tactics	13	45	330,000							70.80M
89	FALSE	armada tactics	14	47	520,000							146.00M
90	FALSE	armada tactics	15	49	852,000							399.00M
91	TRUE	thorough scanning	1	25	160							 15.20K
92	TRUE	thorough scanning	2	29	1,300							 86.50K
93	TRUE	thorough scanning	3	30	1,600							 134.00K
94	TRUE	thorough scanning	4	31	2,700							 204.00K
95	TRUE	thorough scanning	5	32	3,500							 300.00K
96	TRUE	thorough scanning	6	33	6,700							 465.00K
97	TRUE	thorough scanning	7	34	9,200							 745.00K
98	FALSE	thorough scanning	8	36	19,800							1.66M
99	FALSE	thorough scanning	9	38	37,800							3.86M
100	FALSE	thorough scanning	10	40	73,300							10.40M
101	FALSE	thorough scanning	11	42	144,000							22.45M
102	FALSE	thorough scanning	12	44	253,000							49.65M
103	FALSE	thorough scanning	13	46	389,000							98.75M
104	FALSE	thorough scanning	14	48	608,000							235.80M
105	FALSE	thorough scanning	15	50	990,000							708.80M
106	TRUE	 cargo security	1	25	160							 15.20K
107	TRUE	 cargo security	2	29	1,300							 86.50K
108	TRUE	 cargo security	3	30	1,600							 134.00K
109	TRUE	 cargo security	4	31	2,700							 204.00K
110	TRUE	 cargo security	5	32	3,500							 300.00K
111	TRUE	 cargo security	6	33	6,700							 465.00K
112	TRUE	 cargo security	7	34	9,200							 745.00K
113	TRUE	 cargo security	8	36	19,800							1.66M
114	TRUE	 cargo security	9	38	37,800							3.86M
115	TRUE	 cargo security	10	40	73,300							10.40M
116	TRUE	 cargo security	11	42	144,000							22.45M
117	TRUE	 cargo security	12	44	253,000							49.65M
118	TRUE	 cargo security	13	46	389,000							98.75M
119	TRUE	 cargo security	14	48	608,000							235.80M
120	FALSE	 cargo security	15	50	990,000							708.80M
121	TRUE	2* isogen extraction	1	30	910							 134.00K
122	TRUE	2* isogen extraction	2	31	3,000							 204.00K
123	TRUE	2* isogen extraction	3	32	3,000							 300.00K
124	TRUE	2* isogen extraction	4	34	5,900							 745.00K
125	TRUE	2* isogen extraction	5	36	11,500							1.66M
126	TRUE	2* isogen extraction	6	38	27,500							3.86M
127	TRUE	2* isogen extraction	7	40	53,300							10.40M
128	TRUE	2* isogen extraction	8	42	91,400							22.45M
129	TRUE	2* isogen extraction	9	44	161,000							49.65M
130	TRUE	2* isogen extraction	10	46	248,000							98.75M
131	TRUE	2* isogen extraction	11	48	387,000							235.80M
132	TRUE	2* isogen extraction	12	50	630,000							708.80M
133	TRUE	3* isogen extraction	1	35	10,800							1.11M
134	TRUE	3* isogen extraction	2	36	12,300							1.66M
135	TRUE	3* isogen extraction	3	37	21,700							2.44M
136	TRUE	3* isogen extraction	4	38	27,500							3.86M
137	TRUE	3* isogen extraction	5	40	53,300							10.40M
138	TRUE	3* isogen extraction	6	42	91,400							22.45M
139	TRUE	3* isogen extraction	7	44	161,000							49.65M
140	TRUE	3* isogen extraction	8	46	248,000							98.75M
141	TRUE	3* isogen extraction	9	48	387,000							235.80M
142	FALSE	3* isogen extraction	10	50	630,000							708.80M
143	TRUE	territory challenger	1	30	1,600							 134.00K
144	TRUE	territory challenger	2	40	66,600							10.40M
145	TRUE	territory conqueror	1	35	11,600							1.11M
146	FALSE	territory conqueror	2	50	900,000							708.80M
147	TRUE	efficient research	1	30	1,400	90						 134.00K
148	TRUE	efficient research	2	32	3,700	150						 300.00K
149	TRUE	efficient research	3	33	6,700	150						 465.00K
150	TRUE	efficient research	4	34	7,500	170						 745.00K
151	TRUE	efficient research	5	36	14,800	220						1.66M
152	TRUE	efficient research	6	38	32,700	290						3.86M
153	TRUE	efficient research	7	40	63,300	350						10.40M
154	TRUE	efficient research	8	42	131,000	440						22.45M
155	TRUE	efficient research	9	44	230,000	510						49.65M
156	TRUE	efficient research	10	46	354,000	590						98.75M
157	TRUE	efficient research	11	48	553,000	670						235.80M
158	FALSE	efficient research	12	50	900,000	750						708.80M
159	TRUE	efficient ship upgrades	1	30	1,400			90				 134.00K
160	TRUE	efficient ship upgrades	2	32	3,700			150				 300.00K
161	TRUE	efficient ship upgrades	3	33	6,700			150				 465.00K
162	TRUE	efficient ship upgrades	4	34	7,500			170				 745.00K
163	TRUE	efficient ship upgrades	5	36	14,800			220				1.66M
164	TRUE	efficient ship upgrades	6	38	32,700			290				3.86M
165	TRUE	efficient ship upgrades	7	40	63,300			350				10.40M
166	TRUE	efficient ship upgrades	8	42	131,000			440				22.45M
167	TRUE	efficient ship upgrades	9	44	230,000			510				49.65M
168	TRUE	efficient ship upgrades	10	46	354,000			590				98.75M
169	TRUE	efficient ship upgrades	11	48	553,000			670				235.80M
170	FALSE	efficient ship upgrades	12	50	900,000			750				708.80M
171	TRUE	efficient construction	1	30	1,400		90					 134.00K
172	TRUE	efficient construction	2	32	3,700		150					 300.00K
173	TRUE	efficient construction	3	33	6,700		150					 465.00K
174	TRUE	efficient construction	4	34	7,500		170					 745.00K
175	TRUE	efficient construction	5	36	14,800		220					1.66M
176	TRUE	efficient construction	6	38	32,700		290					3.86M
177	TRUE	efficient construction	7	40	63,300		350					10.40M
178	TRUE	efficient construction	8	42	131,000		440					22.45M
179	TRUE	efficient construction	9	44	230,000		510					49.65M
180	TRUE	efficient construction	10	46	354,000		590					98.75M
181	TRUE	efficient construction	11	48	553,000		670					235.80M
182	FALSE	efficient construction	12	50	900,000		750					708.80M
183	TRUE	explorer shields	1	30	1,800	120						 134.00K
184	TRUE	explorer shields	2	33	8,200	180						 465.00K
185	TRUE	explorer shields	3	34	9,200	200						 745.00K
186	TRUE	explorer shields	4	35	14,400	220						1.11M
187	TRUE	explorer shields	5	36	17,500	260						1.66M
188	TRUE	explorer shields	6	37	31,000	280						2.44M
189	TRUE	explorer shields	7	39	60,300	340						6.58M
190	TRUE	explorer shields	8	41	121,000	410						15.10M
191	TRUE	explorer shields	9	43	214,000	480						32.60M
192	TRUE	explorer shields	10	45	330,000	550						70.80M
193	FALSE	explorer shields	11	47	520,000	630						146.00M
194	FALSE	explorer shields	12	49	852,000	710						399.00M
195	TRUE	explorer warfare	1	30	1,800			120				 134.00K
196	TRUE	explorer warfare	2	33	8,200			180				 465.00K
197	TRUE	explorer warfare	3	34	9,200			200				 745.00K
198	TRUE	explorer warfare	4	35	14,400			220				1.11M
199	TRUE	explorer warfare	5	36	17,500			260				1.66M
200	TRUE	explorer warfare	6	37	31,000			280				2.44M
201	TRUE	explorer warfare	7	39	60,300			340				6.58M
202	TRUE	explorer warfare	8	41	121,000			410				15.10M
203	FALSE	explorer warfare	9	43	214,000			480				32.60M
204	FALSE	explorer warfare	10	45	330,000			550				70.80M
205	FALSE	explorer warfare	11	47	520,000			630				146.00M
206	FALSE	explorer warfare	12	49	852,000			710				399.00M
207	TRUE	explorer hull integrity	1	30	1,800		120					 134.00K
208	TRUE	explorer hull integrity	2	33	8,200		180					 465.00K
209	TRUE	explorer hull integrity	3	34	9,200		200					 745.00K
210	TRUE	explorer hull integrity	4	35	14,400		220					1.11M
211	TRUE	explorer hull integrity	5	36	17,500		260					1.66M
212	TRUE	explorer hull integrity	6	37	31,000		280					2.44M
213	TRUE	explorer hull integrity	7	39	60,300		340					6.58M
214	TRUE	explorer hull integrity	8	41	121,000		410					15.10M
215	TRUE	explorer hull integrity	9	43	214,000		480					32.60M
216	TRUE	explorer hull integrity	10	45	330,000		550					70.80M
217	TRUE	explorer hull integrity	11	47	520,000		630					146.00M
218	FALSE	explorer hull integrity	12	49	852,000		710					399.00M
219	TRUE	interceptor shields	1	30	1,800	120						 134.00K
220	TRUE	interceptor shields	2	34	9,200	200						 745.00K
221	TRUE	interceptor shields	3	35	14,400	220						1.11M
222	TRUE	interceptor shields	4	36	17,500	260						1.66M
223	TRUE	interceptor shields	5	37	31,000	280						2.44M
224	TRUE	interceptor shields	6	38	36,100	320						3.86M
225	TRUE	interceptor shields	7	40	69,900	390						10.40M
226	TRUE	interceptor shields	8	42	144,000	480						22.45M
227	TRUE	interceptor shields	9	44	253,000	560						49.65M
228	TRUE	interceptor shields	10	46	389,000	650						98.75M
229	TRUE	interceptor shields	11	48	608,000	740						235.80M
230	FALSE	interceptor shields	12	50	990,000	830						708.80M
231	TRUE	interceptor warfare	1	30	1,800			120				 134.00K
232	TRUE	interceptor warfare	2	34	9,200			200				 745.00K
233	TRUE	interceptor warfare	3	35	14,400			220				1.11M
234	TRUE	interceptor warfare	4	36	17,500			260				1.66M
235	TRUE	interceptor warfare	5	37	31,000			280				2.44M
236	TRUE	interceptor warfare	6	38	36,100			320				3.86M
237	TRUE	interceptor warfare	7	40	69,900			390				10.40M
238	TRUE	interceptor warfare	8	42	144,000			480				22.45M
239	TRUE	interceptor warfare	9	44	253,000			560				49.65M
240	TRUE	interceptor warfare	10	46	389,000			650				98.75M
241	TRUE	interceptor warfare	11	48	608,000			740				235.80M
242	FALSE	interceptor warfare	12	50	990,000			830				708.80M
243	TRUE	interceptor hull integrity	1	30	1,800		120					 134.00K
244	TRUE	interceptor hull integrity	2	34	9,200		200					 745.00K
245	TRUE	interceptor hull integrity	3	35	14,400		220					1.11M
246	TRUE	interceptor hull integrity	4	36	17,500		260					1.66M
247	TRUE	interceptor hull integrity	5	37	31,000		280					2.44M
248	TRUE	interceptor hull integrity	6	38	36,100		320					3.86M
249	TRUE	interceptor hull integrity	7	40	69,900		390					10.40M
250	TRUE	interceptor hull integrity	8	42	144,000		480					22.45M
251	TRUE	interceptor hull integrity	9	44	253,000		560					49.65M
252	TRUE	interceptor hull integrity	10	46	389,000		650					98.75M
253	TRUE	interceptor hull integrity	11	48	608,000		740					235.80M
254	FALSE	interceptor hull integrity	12	50	990,000		830					708.80M
255	TRUE	battleship shields	1	30	1,800	120						 134.00K
256	TRUE	battleship shields	2	35	14,400	220						1.11M
257	TRUE	battleship shields	3	36	17,500	260						1.66M
258	TRUE	battleship shields	4	37	31,000	280						2.44M
259	TRUE	battleship shields	5	38	36,100	320						3.86M
260	TRUE	battleship shields	6	39	60,300	340						6.58M
261	TRUE	battleship shields	7	40	69,900	390						10.40M
262	FALSE	battleship shields	8	41	121,000	410						15.10M
263	FALSE	battleship shields	9	43	214,000	480						32.60M
264	FALSE	battleship shields	10	45	330,000	550						70.80M
265	FALSE	battleship shields	11	47	520,000	630						146.00M
266	FALSE	battleship shields	12	49	852,000	710						399.00M
267	TRUE	battleship warfare	1	30	1,800			120				 134.00K
268	TRUE	battleship warfare	2	35	14,400			220				1.11M
269	TRUE	battleship warfare	3	36	17,500			260				1.66M
270	TRUE	battleship warfare	4	37	31,000			280				2.44M
271	TRUE	battleship warfare	5	38	36,100			320				3.86M
272	TRUE	battleship warfare	6	39	60,300			340				6.58M
273	TRUE	battleship warfare	7	40	69,900			390				10.40M
274	FALSE	battleship warfare	8	41	121,000			410				15.10M
275	FALSE	battleship warfare	9	43	214,000			480				32.60M
276	FALSE	battleship warfare	10	45	330,000			550				70.80M
277	FALSE	battleship warfare	11	47	520,000			630				146.00M
278	FALSE	battleship warfare	12	49	852,000			710				399.00M
279	TRUE	battleship hull integrity	1	30	1,800		120					 134.00K
280	TRUE	battleship hull integrity	2	35	14,400		220					1.11M
281	TRUE	battleship hull integrity	3	36	17,500		260					1.66M
282	TRUE	battleship hull integrity	4	37	31,000		280					2.44M
283	TRUE	battleship hull integrity	5	38	36,100		320					3.86M
284	TRUE	battleship hull integrity	6	39	60,300		340					6.58M
285	TRUE	battleship hull integrity	7	40	69,900		390					10.40M
286	TRUE	battleship hull integrity	8	41	121,000		410					15.10M
287	TRUE	battleship hull integrity	9	43	214,000		480					32.60M
288	TRUE	battleship hull integrity	10	45	330,000		550					70.80M
289	TRUE	battleship hull integrity	11	47	520,000		630					146.00M
290	FALSE	battleship hull integrity	12	49	852,000		710					399.00M
291	TRUE	explorer repair costs	1	35	11,600	170						1.11M
292	TRUE	explorer repair costs	2	37	34,100	300						2.44M
293	TRUE	explorer repair costs	3	38	34,400	310						3.86M
294	TRUE	explorer repair costs	4	39	60,300	340						6.58M
295	TRUE	explorer repair costs	5	40	66,600	370						10.40M
296	TRUE	explorer repair costs	6	42	131,000	440						22.45M
297	TRUE	explorer repair costs	7	44	207,000	460						49.65M
298	TRUE	explorer repair costs	8	46	319,000	530						98.75M
299	TRUE	explorer repair costs	9	48	553,000	670						235.80M
300	FALSE	explorer repair costs	10	50	900,000	750						708.80M
301	TRUE	interceptor repair costs	1	35	11,600			170				1.11M
302	TRUE	interceptor repair costs	2	37	34,100			300				2.44M
303	TRUE	interceptor repair costs	3	38	34,400			310				3.86M
304	TRUE	interceptor repair costs	4	39	60,300			340				6.58M
305	TRUE	interceptor repair costs	5	40	66,600			370				10.40M
306	TRUE	interceptor repair costs	6	42	131,000			440				22.45M
307	FALSE	interceptor repair costs	7	44	207,000			460				49.65M
308	FALSE	interceptor repair costs	8	46	319,000			530				98.75M
309	FALSE	interceptor repair costs	9	48	553,000			670				235.80M
310	FALSE	interceptor repair costs	10	50	900,000			750				708.80M
311	TRUE	battleship repair costs	1	35	11,600		170					1.11M
312	TRUE	battleship repair costs	2	37	34,100		300					2.44M
313	TRUE	battleship repair costs	3	38	34,400		310					3.86M
314	TRUE	battleship repair costs	4	39	60,300		340					6.58M
315	TRUE	battleship repair costs	5	40	66,600		370					10.40M
316	TRUE	battleship repair costs	6	42	131,000		440					22.45M
317	TRUE	battleship repair costs	7	44	207,000		460					49.65M
318	TRUE	battleship repair costs	8	46	319,000		530					98.75M
319	TRUE	battleship repair costs	9	48	553,000		670					235.80M
320	FALSE	battleship repair costs	10	50	900,000		750					708.80M
321	TRUE	advanced research	1	35	15,900	240						1.11M
322	TRUE	advanced research	2	38	37,800	340						 0.00K
323	TRUE	advanced research	3	39	60,300	340						6.58M
324	TRUE	advanced research	4	40	66,600	370						10.40M
325	TRUE	advanced research	5	41	115,000	380						15.10M
326	TRUE	advanced research	6	42	131,000	440						22.45M
327	TRUE	advanced research	7	43	214,000	480						32.60M
328	TRUE	advanced research	8	45	297,000	500						70.80M
329	TRUE	advanced research	9	47	468,000	570						146.00M
330	TRUE	advanced research	10	49	767,000	640						399.00M
331	TRUE	expert repairs	1	35	15,900			240				1.11M
332	TRUE	expert repairs	2	38	37,800			340				 0.00K
333	TRUE	expert repairs	3	39	60,300			340				6.58M
334	TRUE	expert repairs	4	40	66,600			370				10.40M
335	TRUE	expert repairs	5	41	115,000			380				15.10M
336	TRUE	expert repairs	6	42	131,000			440				22.45M
337	TRUE	expert repairs	7	43	214,000			480				32.60M
338	TRUE	expert repairs	8	45	297,000			500				70.80M
339	FALSE	expert repairs	9	47	468,000			570				146.00M
340	FALSE	expert repairs	10	49	767,000			640				399.00M
341	TRUE	effective construction	1	35	15,900		240					1.11M
342	TRUE	effective construction	2	38	37,800		340					 0.00K
343	TRUE	effective construction	3	39	60,300		340					6.58M
344	TRUE	effective construction	4	40	66,600		370					10.40M
345	TRUE	effective construction	5	41	115,000		380					15.10M
346	TRUE	effective construction	6	42	131,000		440					22.45M
347	TRUE	effective construction	7	43	214,000		480					32.60M
348	TRUE	effective construction	8	45	297,000		500					70.80M
349	TRUE	effective construction	9	47	468,000		570					146.00M
350	TRUE	effective construction	10	49	767,000		640					399.00M
351	TRUE	optimized research	1	35	15,900	240						1.11M
352	TRUE	optimized research	2	39	60,300	340						6.58M
353	TRUE	optimized research	3	40	66,600	370						10.40M
354	TRUE	optimized research	4	41	115,000	380						15.10M
355	TRUE	optimized research	5	42	131,000	440						22.45M
356	TRUE	optimized research	6	43	214,000	480						32.60M
357	TRUE	optimized research	7	44	230,000	510						49.65M
358	TRUE	optimized research	8	46	354,000	590						98.75M
359	TRUE	optimized research	9	48	608,000	740						235.80M
360	FALSE	optimized research	10	50	990,000	830						708.80M
361	TRUE	optimized ship upgrades	1	35	15,900			240				1.11M
362	TRUE	optimized ship upgrades	2	39	60,300			340				6.58M
363	TRUE	optimized ship upgrades	3	40	66,600			370				10.40M
364	TRUE	optimized ship upgrades	4	41	115,000			380				15.10M
365	TRUE	optimized ship upgrades	5	42	131,000			440				22.45M
366	TRUE	optimized ship upgrades	6	43	214,000			480				32.60M
367	TRUE	optimized ship upgrades	7	44	230,000			510				49.65M
368	TRUE	optimized ship upgrades	8	46	354,000			590				98.75M
369	TRUE	optimized ship upgrades	9	48	608,000			740				235.80M
370	FALSE	optimized ship upgrades	10	50	990,000			830				708.80M
371	TRUE	optimized construction	1	35	15,900		240					1.11M
372	TRUE	optimized construction	2	39	60,300		340					6.58M
373	TRUE	optimized construction	3	40	66,600		370					10.40M
374	TRUE	optimized construction	4	41	115,000		380					15.10M
375	TRUE	optimized construction	5	42	131,000		440					22.45M
376	TRUE	optimized construction	6	43	214,000		480					32.60M
377	TRUE	optimized construction	7	44	230,000		510					49.65M
378	TRUE	optimized construction	8	46	354,000		590					98.75M
379	TRUE	optimized construction	9	48	608,000		740					235.80M
380	TRUE	optimized construction	10	50	990,000		830					708.80M
381	TRUE	shield enhancements	1	35	17,300	260			50			1.11M
382	TRUE	shield enhancements	2	40	73,300	410			100			10.40M
383	TRUE	shield enhancements	3	41	134,000	450			150			15.10M
384	TRUE	shield enhancements	4	42	144,000	480			200			22.45M
385	TRUE	shield enhancements	5	43	225,000	500			250			32.60M
386	TRUE	shield enhancements	6	44	276,000	610			300			49.65M
387	TRUE	shield enhancements	7	45	363,000	610			350			70.80M
388	TRUE	shield enhancements	8	46	425,000	400			710			98.75M
389	TRUE	shield enhancements	9	47	572,000	690			450			146.00M
390	TRUE	shield enhancements	10	49	937,000	780			500			399.00M
391	TRUE	weapon development	1	35	17,300			260	50			1.11M
392	TRUE	weapon development	2	40	73,300			410	100			10.40M
393	TRUE	weapon development	3	41	134,000			450	150			15.10M
394	TRUE	weapon development	4	42	144,000			480	200			22.45M
395	TRUE	weapon development	5	43	225,000			500	250			32.60M
396	TRUE	weapon development	6	44	276,000			610	300			49.65M
397	FALSE	weapon development	7	45	363,000			610	350			70.80M
398	FALSE	weapon development	8	46	425,000			400	710			98.75M
399	FALSE	weapon development	9	47	572,000			690	450			146.00M
400	FALSE	weapon development	10	49	937,000			780	500			399.00M
401	TRUE	hull stability	1	35	17,300		260		50			1.11M
402	TRUE	hull stability	2	40	73,300		410		100			10.40M
403	TRUE	hull stability	3	41	134,000		450		150			15.10M
404	TRUE	hull stability	4	42	144,000		480		200			22.45M
405	TRUE	hull stability	5	43	225,000		500		250			32.60M
406	TRUE	hull stability	6	44	276,000		610		300			49.65M
407	TRUE	hull stability	7	45	363,000		610		350			70.80M
408	TRUE	hull stability	8	46	425,000		400		710			98.75M
409	TRUE	hull stability	9	47	572,000		690		450			146.00M
410	TRUE	hull stability	10	49	937,000		780		500			399.00M
411	TRUE	Blindsided explorers	1	40	89,900	445						10.40M
412	FALSE	Blindsided explorers	2	41	164,000	485						15.10M
413	FALSE	Blindsided explorers	3	43	289,000	570						32.60M
414	FALSE	Blindsided explorers	4	45	446,000	660						70.80M
415	FALSE	Blindsided explorers	5	47	702,000	755						146.00M
416	TRUE	Blindsided Interceptors	1	40	89,900			445				10.40M
417	FALSE	Blindsided Interceptors	2	41	164,000			485				15.10M
418	FALSE	Blindsided Interceptors	3	43	289,000			570				32.60M
419	FALSE	Blindsided Interceptors	4	45	446,000			660				70.80M
420	FALSE	Blindsided Interceptors	5	47	702,000			755				146.00M
421	TRUE	Blindsided Battleships	1	40	89,900		445					10.40M
422	FALSE	Blindsided Battleships	2	41	164,000		485					15.10M
423	FALSE	Blindsided Battleships	3	43	289,000		570					32.60M
424	FALSE	Blindsided Battleships	4	45	446,000		660					70.80M
425	FALSE	Blindsided Battleships	5	47	702,000		755					146.00M
426	TRUE	Enhanced Research	1	40	80,925	445						10.40M
427	TRUE	Enhanced Research	2	42	160,000	475						22.50M
428	TRUE	Enhanced Research	3	43	260,000	570						32.60M
429	FALSE	Enhanced Research	4	44	279,000	550						49.70M
430	FALSE	Enhanced Research	5	45	401,000	660						70.80M
431	FALSE	Enhanced Research	6	46	430,000	635						98.80M
432	FALSE	Enhanced Research	7	47	632,000	755						146.00M
433	FALSE	Enhanced Research	8	48	672,000	725						236.00M
434	FALSE	Enhanced Research	9	49	1,040,000	765						399.00M
435	FALSE	Enhanced Research	10	50	1,090,000	810						709.00M
436	TRUE	Expeditious Repair	1	40	80,925			400				10.40M
437	TRUE	Expeditious Repair	2	42	160,000			475				22.50M
438	FALSE	Expeditious Repair	3	43	260,000			515				32.60M
439	FALSE	Expeditious Repair	4	44	279,000			550				49.70M
440	FALSE	Expeditious Repair	5	45	401,000			595				70.80M
