																													
	Voyager Hostile Salvaging			Grade	Effect		535	53	2645	2819	2732		9	45,200	90,400	158,200	17,578	12,556	11,341	10,044	8,789	7,643	12,556						
	Level	Bonus	R+D	not used	0%		700	55	3333	3523	3428		10	59,150	118,300	207,000	23,000	16,429	14,839	13,143	11,500	10,000	16,429						
	0	0	0	G3	75%		750	58	4279	4402	4341		11	73,100	146,200	255,800	28,422	20,302	18,337	16,241	14,211	12,357	20,302						
	1 (RD34)	2%	34	G4	100%		900	60	5164	5483	5324		12	93,000	185,900	325,300	36,144	25,817	23,319	20,654	18,072	15,715	25,817						
	2 (RD34)	5%	34	G5	150%																								
	3 (RD35)	8%	35						2,645-2,819				Tier	1 Chest	Current	Tier	2 Chest	Current	Tier	3 Chest	Current								
	4 (RD40)	12%	40										1	3,460	275	1	6,920	549	1	12,100	960								
	5 (RD40)	16%	40										2	4,390	348	2	8,760	695	2	15,360	1,219								
	6 (RD40)	20%	40										3	5,400	429	3	10,700	849	3	18,800	1,492								
	7 (RD40)	24%	40										4	7,700	611	4	15,400	1,222	4	26,900	2,135								
	8 (RD51)	30%	51										5	9,400	746	5	18,800	1,492	5	32,800	2,603								
	9  (RD51)	35%	51										6	19,100	1,516	6	38,200	3,032	6	66,800	5,302								
	10 (RD51)	40%	51										7	24,300	1,929	7	48,500	3,849	7	84,900	6,738								
	11 (RD51)	45%	51										8	35,500	2,817	8	71,000	5,635	8	124,300	9,865								
	12 (RD51)	50%	51										9	45,200	3,587	9	90,400	7,175	9	158,200	12,556								
													10	59,150	4,694	10	118,300	9,389	10	207,000	16,429								
													11	73,100	5,802	11	146,200	11,603	11	255,800	20,302								
													12	93,000	7,381	12	185,900	14,754	12	325,300	25,817								
																													
																													
																													
														Tier	2 Chest	-	T1	T2	T3	T4	T5								
														1	6,920	769	549	496	439	384	334								
														2	8,760	973	695	628	556	487	423								
														3	10,700	1,189	849	767	679	594	517								
														4	15,400	1,711	1,222	1,104	978	856	744								
														5	18,800	2,089	1,492	1,348	1,194	1,044	908								
														6	38,200	4,244	3,032	2,738	2,425	2,122	1,845								
														7	48,500	5,389	3,849	3,477	3,079	2,694	2,343								
														8	71,000	7,889	5,635	5,090	4,508	3,944	3,430								
														9	90,400	10,044	7,175	6,480	5,740	5,022	4,367								
														10	118,300	13,144	9,389	8,480	7,511	6,572	5,715								
														11	146,200	16,244	11,603	10,480	9,283	8,122	7,063								
														12	185,900	20,656	14,754	13,326	11,803	10,328	8,981								
																													
														Tier	1 Chest	-	T1	T2	T3	T4	T5								
														1	3,460	384	275	248	220	192	167								
														2	4,390	488	348	315	279	244	212								
														3	5,400	600	429	387	343	300	261								
														4	7,700	856	611	552	489	428	372								
														5	9,400	1,044	746	674	597	522	454								
														6	19,100	2,122	1,516	1,369	1,213	1,061	923								
														7	24,300	2,700	1,929	1,742	1,543	1,350	1,174								
														8	35,500	3,944	2,817	2,545	2,254	1,972	1,715								
														9	45,200	5,022	3,587	3,240	2,870	2,511	2,184								
														10	59,150	6,572	4,694	4,240	3,756	3,286	2,857								
														11	73,100	8,122	5,802	5,240	4,641	4,061	3,531								
														12	93,000	10,333	7,381	6,667	5,905	5,167	4,493								
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
