Mission Name,Rarity,Key Stat,Primary Rewards,Unnamed: 4,Unnamed: 5,Crit Rewards,Trait 1,Trait 2,Trait 3,Trait 4,Days,Min Crit %,Crit per trait,Trait Points,Max Crit %,Rewards,Traits,Unnamed: 20,Unnamed: 24,Top Traits,Unnamed: 26,Unnamed: 27,Top Officers,Unnamed: 29,TraitTier,Trait Level,Cost,Total Cost,Planning 1 List,Planning 2 List,Planning 3 List,Planning 4 List,Planning 5 List,Planning 6 List,Planning 7 List,Planning 8 List,Planning 9 List,Planning 10 List
Arbiter of Succession,Epic,Defence,Klingon Rep,,,Klingon Credits,Specialist,Analytical,Advisor,Chancellor,2 Days,20%,2.11%,19.0,60%,Broken Interceptor Parts,Captain,4.0,12.0,Tactical,8.0,12.0,Mirror Picard,30.0,T3/4,11.0,"10,000","68,500", , , , , , , , , , 
Armed Escort (ops <30),Uncommon,Defence,Rare Star Charts,,,Rare Star Charts,Tactical,Security,Warrior,,1 Days,10%,5.00%,10.0,60%,Broken Survey Parts,Cautious,3.0,13.0,Augment,7.0,13.0,Rom,30.0,T3/5,12.0,"15,000","83,500", , , , , , , , , , 
Armed Escort (ops 30+),Uncommon,Defence,Rare Star Charts,Service Awards,,Rare Star Charts,Tactical,Security,Warrior,,1 Days,10%,5.00%,10.0,60%,Common Crystal,Chancellor,4.0,14.0,Dedicated,7.0,14.0,Strike Team La'an,30.0,T3/6,13.0,"23,000","106,500", , , , , , , , , , 
Bat'leth Training,Rare,Attack,Premium Recruit Tokens,,,Rare Officer Shards,Ruthless,Warrior,,,3 Days,10%,7.14%,7.0,60%,Common Gas,Charismatic,10.0,15.0,Genius,7.0,15.0,Carol,28.0,T3/7,14.0,"42,000","148,500", , , , , , , , , , 
Bloodwine Contest,Common,Health,Klingon Rep,Service Awards,,Klingon Credits,Warrior,,,,4 Hour,20%,13.33%,3.0,60%,Common Officer Shards,Charming,3.0,16.0,Leader,7.0,16.0,Shran,28.0,T3/8,15.0,"68,000","216,500", , , , , , , , , , 
Boarding Party,Rare,Attack,Epic Star Charts,Service Awards,,Epic Star Charts,Tactical,Augment,Marksman,Pilot,2 Days,10%,3.85%,13.0,60%,Common Ore,Criminal,2.0,17.0,Surveyor,7.0,17.0,Andy Billups,27.0,T3/9,16.0,"107,000","323,500", , , , , , , , , , 
Calculated Treachery,Common,Attack,Romulan Rep,Service Awards,,Romulan Credits,Calculated,Mastermind,Analytical,Criminal,4 Hours,20%,1.54%,26.0,60%,Data Shards,Cybernetic,2.0,18.0,Assimilated,6.0,18.0,Charvanek,27.0,,,,, , , , , , , , , , 
Collective Bargaining,Rare,Health,Inert Nanoprobes,Service Awards,,Active Nanoprobes,Assimilated,Miner,Fluffy,,2 Days,10%,4.38%,16.0,80%,Data/Kras Shards,Deceptive,2.0,,,,,,,,,,, , , , , , , , , , 
Crystal Contractor,Uncommon,Attack,Raw Crystal,Service Awards,,Common Crystal,Miner,Pilot,Surveyor,,8 Hours,25%,5.00%,10.0,75%,Epic Star Charts,Dedicated,7.0,,,,,,,,,,, , , , , , , , , , 
Crystal Contractor (2 Day),Uncommon,Attack,Raw Crystal,Service Awards,,Common Crystal,Miner,Captain,Surveyor,,2 Days,25%,5.00%,10.0,75%,Federation Credits,Diplomat,6.0,,,,,,,,,,, , , , , , , , , , 
Cultural Exchange,Rare,Defence,Federation Credits,Service Awards,,Federation G3 Ship BPs,Leader,Explorer,Charismatic,Trader,3 Days,10%,2.00%,25.0,60%,Federation G3 Ship BPs,Doctor,6.0,,,,,,,,,,, , , , , , , , , , 
Deep Space Reconnaissance,Common (Solo),Health,Rare Star Charts,Service Awards,,Rare Star Charts,Explorer,,,,12 hour,10%,12.50%,4.0,60%,Federation G4 Ship BPs,Empathic,2.0,,,,,,,,,,, , , , , , , , , , 
Diplomatic Relations,Common,Health,Officer XP,,,Latinum,Diplomat,,,,8 Hours,10%,10.00%,3.0,40%,Federation Rep,Engineer,16.0,,,,,,,,,,, , , , , , , , , , 
Double Agent Interrogation,Rare,Health,Premium Recruit Tokens,Service Awards,,Rare Officer Shards,Empathic,Perceptive,Security,Spy,3 Days,10%,3.42%,19.0,75%,G4 Common Battleship Parts,Escape Artist,1.0,,,,,,,,,,, , , , , , , , , , 
Emergency Evacuation (ops <30),Uncommon,Defence,Federation Rep,,,Federation Credits,Cautious,Dedicated,Captain,Doctor,8 Hours,20%,2.86%,14.0,60%,G4 Common Explorer Parts,Explorer,5.0,,,,,,,,,,, , , , , , , , , , 
Emergency Evacuation (ops 30+),Uncommon,Defence,Federation Rep,Service Awards,,Federation Credits,Cautious,Dedicated,Captain,Doctor,8 Hours,20%,2.86%,14.0,60%,G4 Interceptor Parts,Fluffy,1.0,,,,,,,,,,, , , , , , , , , , 
Escort Dignitary,Common,Health,Officer XP,,,Recruit Tokens,Warrior,,,,4 Hours,10%,13.33%,3.0,50%,Inert Nanoprobes,Focused,4.0,,,,,,,,,,, , , , , , , , , , 
Experimental Procedures (ops <30),Uncommon,Health,Service Awards,,,Service Awards,Physicist,Engineer,Inventor,Scientist,12 Hours,5%,5.77%,13.0,80%,Klingon Credits,Genius,7.0,,,,,,,,,,, , , , , , , , , , 
Experimental Procedures (ops 30-39),Uncommon,Health,3* Raw Materials,Service Awards,,3* Common Materials,Physicist,Engineer,Inventor,Scientist,1 Day,25%,3.85%,13.0,75%,Klingon G3 Ship BPs,Impulsive,2.0,,,,,,,,,,, , , , , , , , , , 
Experimental Procedures (ops 40+),Uncommon,Health,4* Raw Materials,Service Awards,,4* Common Materials,Physicist,Engineer,Inventor,Scientist,2 Days,25%,3.85%,13.0,75%,Klingon Rep,Intimidating,2.0,,,,,,,,,,, , , , , , , , , , 
Explore Galactic Barrier,Epic,Defence,Away Teams Credits,,,TOS Spock Shards,Psionic,Analytical,Tactical,Ambitious,3 Days,0%,5.00%,20.0,100%,Klingon Ship BPs,Inventor,6.0,,,,,,,,,,, , , , , , , , , , 
Field Operatives (ops <20),Uncommon,Attack,Recruit Tokens,,,Common Officer Shards,Doctor,Resourceful,Warrior,,1 Day,15%,3.88%,9.0,50%,Latinum,Leader,7.0,,,,,,,,,,, , , , , , , , , , 
Field Operatives (ops 20+),Uncommon,Attack,Premium Recruit Tokens,,,Uncommon Officer Shards,Doctor,Resourceful,Warrior,,2 Days,15%,3.88%,9.0,50%,Merits of Honor,Manipulative,2.0,,,,,,,,,,, , , , , , , , , , 
First Contact,Epic,Health,Federation Rep,Service Awards,,Federation Credits,Astronomer,Charismatic,Explorer,Captain,2 Days,20%,2.00%,20.0,60%,Michael Burnham Shards,Marksman,1.0,,,,,,,,,,, , , , , , , , , , 
Forensic Investigation,Epic,Attack,Service Awards,,,Merits of Honor,Specialist,Analytical,Perceptive,,3 Days,30%,3.24%,17.0,85%,Officer XP,Mastermind,3.0,,,,,,,,,,, , , , , , , , , , 
Form Trade Agreement,Uncommon,Health,Away Teams Credits,,,Latinum,Charming,Empathic,Trader,Charismatic,1 Day,0%,3.23%,31.0,100%,Pike Shards,Miner,16.0,,,,,,,,,,, , , , , , , , , , 
Gas Contractor (ops <30),Uncommon,Defence,Raw Gas,,,Common Gas,Miner,Scientist,Engineer,,1 Day,25%,5.00%,10.0,75%,Premium Recruit Tokens,Patriotic,3.0,,,,,,,,,,, , , , , , , , , , 
Gas Contractor (ops 30+),Uncommon,Defence,Raw Gas,Service Awards,,Common Gas,Miner,Scientist,Engineer,,1 Day,25%,5.00%,10.0,75%,Rare Officer Shards,Perceptive,2.0,,,,,,,,,,, , , , , , , , , , 
Geological Evaluation (Crystal),Epic,Health,Service Awards,Common Crystal,,Uncommon Crystal,Miner,Augment,Scientist,Surveyor,1 Day,25%,3.85%,13.0,75%,Rare Star Charts,Physicist,9.0,,,,,,,,,,, , , , , , , , , , 
Geological Evaluation (Gas),Epic,Health,Service Awards,Common Gas,,Uncommon Gas,Miner,Engineer,Physicist,Scientist,12 Hours,25%,3.57%,14.0,75%,Raw Crystal,Pilot,6.0,,,,,,,,,,, , , , , , , , , , 
Geological Evaluation (Ore),Epic,Health,Service Awards,Common Ore,,Uncommon Ore,Archaeologist,Genius,Miner,Scientist,1 Day,25%,2.50%,20.0,75%,Raw Gas,Psionic,1.0,,,,,,,,,,, , , , , , , , , , 
Geothermal Conditioning (Gas),Rare,Defence,Service Awards,Common Gas,,Uncommon Gas,Miner,Augment,Engineer,,3 Days,25%,5.00%,10.0,75%,Raw Ore,Relentless,6.0,,,,,,,,,,, , , , , , , , , , 
Geothermal Conditioning (Ore),Rare,Defence,Service Awards,Common Ore,,Uncommon Ore,Cybernetic,Miner,Assimilated,,3 Days,25%,4.55%,11.0,75%,Recruit Tokens,Reliable,1.0,,,,,,,,,,, , , , , , , , , , 
Geothermal Conditioning (Crystal),Rare,Defence,Service Awards,Common Crystal,,Uncommon Crystal,Genius,Miner,Scientist,,2 Days,25%,4.55%,11.0,75%,Repair Speedups,Resourceful,17.0,,,,,,,,,,, , , , , , , , , , 
Host Ambassador,Common,Attack,Officer XP,Service Awards,,Latinum,Charismatic,Diplomat,,,1 Day,10%,4.29%,7.0,40%,Romulan Credits,Rogue,10.0,,,,,,,,,,, , , , , , , , , , 
Imperial Strategy,Rare,Health,Away Teams Credits,,,Romulan Credits,Leader,Manipulative,Tactical,Warrior,1 Day,0%,5.00%,20.0,100%,Romulan G3 Ship BPs,Ruthless,5.0,,,,,,,,,,, , , , , , , , , , 
Investigate Borg Signal,Epic,Health,Away Teams Credits,,,Ten of Eleven Shards,Specialist,Analytical,Miner,Assimilated,3 Day,0%,5.00%,20.0,100%,Romulan G4 Ship BPs,Scientist,15.0,,,,,,,,,,, , , , , , , , , , 
Lead Expedition,Uncommon,Defence,Away Teams Credits,,,Away Teams Credits,Impulsive,Intimidating,Miner,Survivor,1 Day,0%,3.85%,26.0,100%,Romulan Rep,Security,4.0,,,,,,,,,,, , , , , , , , , , 
Low Orbit Flyby,Common,Defence,Axionic Biochips,Service Awards,Ship XP,Latinum,Pilot,,,,12 Hours,10%,10.00%,3.0,40%,Service Awards,Specialist,8.0,,,,,,,,,,,,,,,,,,,,
Mek'ba Judiciary,Uncommon,Attack,Klingon Rep,Service Awards,,Klingon Credits,Advisor,Chancellor,Security,,1 Day,20%,4.44%,9.0,60%,Ship XP,Spy,4.0,,,,,,,,,,,,,,,,,,,,
Meridian Shipment (Incomplete),,,,,,,,,,,,,,,0%,Speedups,Surveyor,7.0,,,,,,,,,,,,,,,,,,,,
Methodical Ambush,Epic,Attack,G4 Common Battleship Parts,Service Awards,,Romulan G4 Ship BPs,Intimidating,Mastermind,Tactical,Warrior,5 Days,10%,2.00%,25.0,60%,Ten of Eleven Shards,Survivor,4.0,,,,,,,,,,,,,,,,,,,,
Observing Kolinahr,Rare,Health,Federation Rep,Service Awards,,Federation Credits,Calculated,Analytical,Dedicated,,2 Days,20%,2.35%,17.0,60%,TOS Spock Shards,Tactical,8.0,,,,,,,,,,,,,,,,,,,,
Officer Training,Uncommon,Health,Trait XP,,,Away Teams Credits,Impulsive,Patriotic,Resourceful,Uncompromising,1 Day,10%,4.74%,19.0,100%,Trait XP,Thief,10.0,,,,,,,,,,,,,,,,,,,,
Ore Contractor,Uncommon,Health,Raw Ore,Service Awards,,Common Ore,Miner,Pilot,Assimilated,,1 Day,25%,5.00%,10.0,75%,Ultra Recruit Tokens,Trader,3.0,,,,,,,,,,,,,,,,,,,,
Peace Treaty (A),Epic,Defence,Ultra Recruit Tokens,Service Awards,,Data/Kras Shards,Leader,Specialist,Charismatic,Diplomat,5 Days,25%,2.00%,25.0,75%,Uncommon Crystal,Uncompromising,3.0,,,,,,,,,,,,,,,,,,,,
Peace Treaty (B),Epic,Defence,Ultra Recruit Tokens,Service Awards,,Pike Shards,Leader,Specialist,Charismatic,Diplomat,5 Days,25%,2.00%,25.0,75%,Uncommon G4 Battleship Parts,Warrior,12.0,,,,,,,,,,,,,,,,,,,,
Peacekeeping Initiative (Moreau),Rare,Defence,Premium Recruit Tokens,Service Awards,,Rare Officer Shards,Charming,Dedicated,Diplomat,Uncompromising,1 Days,10%,2.63%,19.0,60%,Uncommon G4 Explorer Parts,,,,,,,,,,,,,,,,,,,,,,
Peacekeeping Initiative (Uhura),Rare,Defence,Premium Recruit Tokens,Service Awards,,Rare Officer Shards,Charming,Dedicated,Diplomat,Uncompromising,3 Days,10%,2.63%,19.0,60%,Uncommon G4 Interceptor Parts,,,,,,,,,,,,,,,,,,,,,,
Planetary Survey,Rare,Attack,Premium Recruit Tokens,Service Awards,,Rare Officer Shards,Miner,Scientist,Surveyor,,3 Days,10%,5.00%,10.0,60%,Uncommon G4 Survey Parts,,,,,,,,,,,,,,,,,,,,,,
Planetside Shipyard,Epic,Defence,G4 Common Explorer Parts,Service Awards,,Federation G4 Ship BPs,Admiral,Android,Physicist,Engineer,5 Days,10%,2.00%,25.0,60%,Uncommon Gas,,,,,,,,,,,,,,,,,,,,,,
Political Espionage,Rare,Attack,Romulan Credits,Service Awards,,Romulan G3 Ship BPs,Manipulative,Ruthless,Deceptive,Spy,3 Days,10%,3.57%,14.0,60%,Uncommon Officer Shards,,,,,,,,,,,,,,,,,,,,,,
R'uustai Ceremony,Rare,Health,Klingon Credits,Service Awards,,Klingon G3 Ship BPs,Dedicated,Reliable,Warrior,,3 Days,10%,4.55%,11.0,60%,Uncommon Ore,,,,,,,,,,,,,,,,,,,,,,
Rescue Attempt (ops <30),Uncommon,Attack,Repair Speedups,,,Speedups,Doctor,Pilot,,,8 Hours,20%,8.33%,6.0,70%,,,,,,,,,,,,,,,,,,,,,,,
Rescue Attempt (ops 30+),Uncommon,Attack,Service Awards,Repair Speedups,,Speedups,Doctor,Warrior,Pilot,,12 Hours,20%,5.56%,9.0,70%,,,,,,,,,,,,,,,,,,,,,,,
Research and Development,Rare,Defence,Away Teams Credits,,,Federation Credits,Focused,Charismatic,Physicist,Scientist,1 Day,0%,5.00%,20.0,100%,,,,,,,,,,,,,,,,,,,,,,,
Rite of MajQa,Rare,Defence,Klingon Rep,Service Awards,,Klingon Credits,Chancellor,Warrior,,,2 Days,20%,6.67%,6.0,60%,,,,,,,,,,,,,,,,,,,,,,,
Salvage Operation (Battleship),Common,Attack,Broken Battleship Parts,Service Awards,,Uncommon G4 Battleship Parts,Genius,Assimilated,Engineer,Resourceful,1 Day,20%,2.11%,19.0,60%,,,,,,,,,,,,,,,,,,,,,,,
Salvage Operation (Explorer),Common,Attack,Broken Explorer Parts,Service Awards,,Uncommon G4 Explorer Parts,Android,Genius,Engineer,Resourceful,1 Day,20%,2.00%,20.0,60%,,,,,,,,,,,,,,,,,,,,,,,
Salvage Operation (Interceptor),Common,Attack,Broken Interceptor Parts,Service Awards,,Uncommon G4 Interceptor Parts,Cybernetic,Genius,Engineer,Resourceful,1 Day,20%,2.86%,14.0,60%,,,,,,,,,,,,,,,,,,,,,,,
Salvage Operation (Survey),Common,Attack,Broken Survey Parts,Service Awards,,Uncommon G4 Survey Parts,Genius,Augment,Engineer,Resourceful,1 Day,20%,3.08%,13.0,60%,,,,,,,,,,,,,,,,,,,,,,,
Scientific Breakthrough (ops <30),Common,Health,Service Awards,,,Latinum,Scientist,,,,12 Hours,10%,10.00%,3.0,40%,,,,,,,,,,,,,,,,,,,,,,,
Scientific Breakthrough (ops 30+),Common,Health,Officer XP,Service Awards,,Latinum,Physicist,Engineer,Inventor,Scientist,12 Hours,10%,2.33%,13.0,40%,,,,,,,,,,,,,,,,,,,,,,,
Senate Hearing,Uncommon,Health,Romulan Rep,Service Awards,,Romulan Credits,Analytical,Charismatic,Patriotic,,1 Day,20%,3.34%,12.0,60%,,,,,,,,,,,,,,,,,,,,,,,
Sensor Analysis (ops <20),Common,Defence,Ship XP,Axionic Chips,,Latinum,Engineer,Scientist,,,8 Hours,10%,5.00%,6.0,40%,,,,,,,,,,,,,,,,,,,,,,,
Smuggle Cybernetics,Epic,Attack,Away Teams Credits,,,Data Shards,Adaptable,Rogue,Physicist,Thief,3 Days,0%,3.85%,26.0,100%,,,,,,,,,,,,,,,,,,,,,,,
Stellar Cartography (ops <30),Common,Health,Rare Star Charts,,,Rare Star Charts,Explorer,,,,8 Hours,10%,12.50%,4.0,60%,,,,,,,,,,,,,,,,,,,,,,,
Stellar Cartography (ops 30+),Common,Health,Rare Star Charts,Service Awards,,Rare Star Charts,Explorer,,,,8 Hours,10%,12.50%,4.0,60%,,,,,,,,,,,,,,,,,,,,,,,
Subterranean Excursion (Crystal ops <30),Uncommon,Attack,Raw Crystal,,,Common Crystal,Cautious,Survivor,Augment,Surveyor,12 Hours,25%,3.57%,14.0,75%,,,,,,,,,,,,,,,,,,,,,,,
Subterranean Excursion (Gas ops <30),Uncommon,Defence,Raw Gas,,,Common Gas,Survivor,Augment,Surveyor,,12 Hours,25%,5.00%,10.0,75%,,,,,,,,,,,,,,,,,,,,,,,
Subterranean Excursion (Ore Ops <30),Uncommon,Health,Raw Ore,,,Common Ore,Survivor,Augment,Surveyor,,12 Hours,25%,3.57%,14.0,75%,,,,,,,,,,,,,,,,,,,,,,,
Tactical Simulator (ops <30),Common,Defence,Axionic Biochips,Ship XP,,Latinum,Tactical,,,,12 Hours,10%,7.50%,4.0,40%,,,,,,,,,,,,,,,,,,,,,,,
Tactical Simulator (ops 30+),Common,Defence,Axionic Biochips,Service Awards,Ship XP,Latinum,Analytical,Tactical,,,1 Day,10%,3.75%,8.0,40%,,,,,,,,,,,,,,,,,,,,,,,
Tal Shiar Inquisition (ops 50+?),Epic,Attack,Romulan Rep,Service Awards,,Romulan Credits,Relentless,Specialist,Patriotic,Ruthless,2 Days,20%,1.60%,25.0,60%,,,,,,,,,,,,,,,,,,,,,,,
Tal Shiar Inquisition (ops <50),Epic,Attack,Romulan Rep,Service Awards,,Romulan Credits,Relentless,Specialist,Ruthless,Spy,3 Days,20%,1.60%,25.0,60%,,,,,,,,,,,,,,,,,,,,,,,
Terraforming Expedition,Common,Defence,Federation Rep,,,Federation Credits,Miner,Engineer,Inventor,,4 Hours,20%,4.00%,10.0,60%,,,,,,,,,,,,,,,,,,,,,,,
Time Heist,Epic,Attack,Away Teams Credits,,,Michael Burnham Shards,Mastermind,Criminal,Genius,Escape Artist,3 Days,0%,5.00%,20.0,100%,,,,,,,,,,,,,,,,,,,,,,,
Undercover Mission,Rare,Attack,Romulan Rep,Service Awards,,Romulan Credits,Charismatic,Deceptive,Resourceful,Spy,2 Days,20%,3.08%,13.0,60%,,,,,,,,,,,,,,,,,,,,,,,
Wargames (Incomplete),,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,
Warzone Reclamation,Epic,Health,G4 Interceptor Parts,Service Awards,,Klingon Ship BPs,Specialist,Trader,Charismatic,Assimilated,5 Days,10%,2.00%,25.0,60%,,,,,,,,,,,,,,,,,,,,,,,
Xenoarchaeology Trip,Common,Attack,Officer XP,Service Awards,,Latinum,Archaeologist,,,,8 Hours,10%,3.33%,9.0,40%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
